short_name,abbrev,full_name,team_name,city,state_iso,country_iso,startdate,enddate
Anaheim,Ana,Anaheim Ducks ,ducks,Anaheim,US-CA,USA,1993,2017
Arizona,Ari,Arizona Coyotes ,coyotes,Glendale,US-AZ,USA,2014,2017
Atl Flames,AtF,Atlanta Flames ,flames,Atlanta,US-GA,USA,1972,1980
Atlanta,Atl,Atlanta Trashers ,trashers,Atlanta,US-GA,USA,1999,2011
Boston,Bos,Boston Bruins ,bruins,Boston,US-MA,USA,1925,2017
Brooklyn,Bkn,Brooklyn Americans ,americans,New York,US-NY,USA,1941,2017
Buffalo,Buf,Buffalo Sabres ,sabres,Buffalo,US-NY,USA,1970,2017
Calgary,Cgy,Calgary Flames ,flames,Calgary,CA-AB,CAN,1980,2017
California,Clf,California Golden Seals ,golden seals,Oakland,US-CA,USA,1970,1976
Carolina,Car,Carolina Hurricanes ,hurricanes,Raleigh,US-NC,USA,1997,2017
Chicago,Chi,Chicago Blackhawks ,blackhawks,Chicago,US-IL,USA,1926,2017
Cleveland,Cle,Cleveland Barons ,barons,Cleveland,US-OH,USA,1976,1978
Col Rockies,CoR,Colorado Rockies ,rockies,Denver,US-CO,USA,1976,1982
Colorado,Col,Colorado Avalanche ,avalanche,Denver,US-CO,USA,1995,2017
Columbus,Cbs,Columbus Blue Jackets ,blue jackets,Columbus,US-OH,USA,2000,2017
Dallas,Dal,Dallas Stars ,stars,Dallas,US-TX,USA,1993,2017
Det Cougars,DtC,Detroit Cougars ,cougars,Detroit,US-MI,USA,1926,1930
Det Falcons,DtF,Detroit Falcons ,falcons,Detroit,US-MI,USA,1930,1932
Detroit,Det,Detroit Red Wings ,red wings,Detroit,US-MI,USA,1932,2017
Edmonton,Edm,Edmonton Oilers ,oilers,Edmonton,CA-AB,CAN,1979,2017
Florida,Flo,Florida Panthers ,panthers,Sunrise,US-FL,USA,1993,2017
Hamilton,Ham,Hamilton Tigers ,tigers,Hamilton,CA-ON,CAN,1920,1925
Hartford,Har,Hartford Whalers ,whalers,Hartford,US-CT,USA,1979,1997
Kansas City,KC,Kansas City Scouts ,scouts,Kansas City,US-KS,USA,1974,1976
Los Angeles,LA,Los Angeles Kings ,kings,Los Angeles,US-CA,USA,1967,2017
Minnesota,Min,Minnesota Wild ,wild,Minneapolis,US-MN,USA,2000,2017
Min N Stars,MNS,Minnesota North Stars ,north stars,Minneapolis,US-MN,USA,1967,1993
Montreal,Mtl,Montreal Canadiens ,canadiens,Montreal,CA-QC,CAN,1917,2017
Mtl Maroons,MtM,Montreal Maroons ,maroons,Montreal,CA-QC,CAN,1924,1938
Mtl Wanderers,MtW,Montreal Wanderers ,wanderers,Montreal,CA-QC,CAN,1917,2017
Nashville,Nsh,Nashville Predators ,predators,Nashville,US-TN,USA,1998,2017
New Jersey,NJ,New Jersey Devils ,devils,Newark,US-NJ,USA,1982,2017
NY Americans,NYA,New York Americans ,americans,New York,US-NY,USA,1925,1941
NY Islanders,NYI,New York Islanders ,islanders,Brooklyn,US-NY,USA,1972,2017
NY Rangers,NYR,New York Rangers ,rangers,New York,US-NY,USA,1926,2017
Oakland,Oak,Oakland Seals ,seals,Oakland,US-CA,USA,1967,1970
Philadelphia,Phi,Philadelphia Flyers ,flyers,Philadelphia,US-PA,USA,1967,2017
Phi Quakers,PhQ,Philadelphia Quakers ,quakers,Philadelphia,US-PA,USA,1930,1931
Phoenix,Pho,Phoenix Coyotes ,coyotes,Phoenix,US-AZ,USA,1996,2014
Pittsburgh,Pit,Pittsburgh Penguins ,penguins,Pittsburgh,US-PA,USA,1967,2017
Pit Pirates,PiP,Pittsburgh Pirates ,pirates,Pittsburgh,US-PA,USA,1925,1930
Ottawa,Ott,Ottawa Senators ,senators,Ottawa,CA-ON,CAN,1992,2017
Ott Senators,OtS,Ottawa Senators ,senators,Ottawa,CA-ON,CAN,1917,1931
Ott Senators,OtS,Ottawa Senators ,senators,Ottawa,CA-ON,CAN,1932,1934
Quebec,Que,Quebec Nordiques ,nordiques,Quebec City,CA-QC,CAN,1979,1995
Que Bulldogs,QuB,Quebec Bulldogs ,bulldogs,Quebec City,CA-QC,CAN,1919,1920
St Louis,StL,St Louis Blues ,blues,Saint Louis,US-MO,USA,1967,2017
StL Eagles,StE,St Louis Eagles ,eagles,Saint Louis,US-MO,USA,1934,1935
San Jose,SJ,San Jose Sharks ,sharks,San Jose,US-CA,USA,1991,2017
Tampa Bay,TB,Tampa Bay Lightning ,lightning,Tampa Bay,US-CA,USA,1992,2017
Toronto,Tor,Toronto Maple Leafs ,maple leafs,Toronto,CA-ON,CAN,1926,2017
Tor Arenas,TrA,Toronto Arenas ,arenas,Toronto,CA-ON,CAN,1917,1919
Tor St Pats,TrS,Toronto St Pats ,st pats,Toronto,CA-ON,CAN,1919,1926
Vancouver,Van,Vancouver Canucks ,canucks,Vancouver,CA-BC,CAN,1970,2017
Washington,Wsh,Washington Capitals ,capitals,Washington,US-DC,USA,1974,2017
Win Jets,WiJ,Winnipeg Jets ,jets,Winnipeg,CA-MB,CAN,1979,1996
Winnipeg,Win,Winnipeg Jets ,jets,Winnipeg,CA-MB,CAN,2011,2017
Winnipeg,Wpg,Winnipeg Jets ,jets,Winnipeg,CA-MB,CAN,2011,2017
